fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,9833.9,1,0,0,40.0
2023-01-02,100,9846.0,0,0,0,40.0
2023-01-03,100,9859.5,0,0,0,35.0
2023-01-04,100,9864.3,0,0,0,40.0
2023-01-05,100,9863.8,0,0,0,35.0
2023-01-06,100,9861.2,0,0,0,35.0
2023-01-07,100,9858.6,0,0,0,40.0
2023-01-08,100,9845.6,0,0,0,40.0
2023-01-09,100,9836.0,0,0,0,40.0
2023-01-10,100,9832.2,0,0,0,40.0
2023-01-11,100,9817.2,0,0,0,40.0
2023-01-12,100,9815.9,0,0,0,40.0
2023-01-13,100,9812.6,0,0,0,35.0
2023-01-14,100,9802.8,0,0,0,40.0
2023-01-15,100,9807.5,0,0,0,40.0
2023-01-16,100,9816.8,0,0,0,40.0
2023-01-17,100,9819.5,0,0,0,40.0
2023-01-18,100,9825.4,0,0,0,40.0
2023-01-19,100,9828.5,0,0,0,40.0
2023-01-20,100,9842.3,0,1,0,40.0
2023-01-21,100,9842.1,0,0,0,40.0
2023-01-22,100,9836.9,0,0,0,40.0
2023-01-23,100,9835.7,0,0,0,40.0
2023-01-24,100,9826.7,0,0,0,40.0
2023-01-25,100,9812.4,0,2,0,40.0
2023-01-26,100,9814.3,0,0,0,40.0
2023-01-27,100,9816.3,0,1,0,40.0
2023-01-28,100,9826.7,0,0,0,35.0
2023-01-29,100,9834.3,0,0,0,35.0
2023-01-30,100,9833.7,0,1,0,35.0
2023-01-31,100,9848.7,0,0,0,40.0
2023-02-01,100,9849.5,0,0,0,40.0
2023-02-02,100,9850.0,0,0,0,40.0
2023-02-03,100,9850.2,0,0,0,40.0
2023-02-04,100,9817.6,0,0,0,40.0
2023-02-05,100,9794.6,0,0,0,40.0
2023-02-06,100,9746.9,0,0,0,40.0
2023-02-07,100,9724.6,0,1,0,40.0
2023-02-08,100,9689.9,0,0,0,40.0
2023-02-09,100,9668.5,0,0,0,40.0
2023-02-10,100,9640.1,0,0,0,40.0
2023-02-11,100,9607.9,0,0,0,40.0
2023-02-12,100,9577.1,0,0,0,40.0
2023-02-13,100,9540.8,0,0,0,40.0
2023-02-14,100,9512.3,0,1,0,40.0
2023-02-15,100,9490.6,0,2,0,40.0
2023-02-16,100,9470.6,0,1,0,40.0
2023-02-17,100,9479.8,0,0,0,40.0
2023-02-18,100,9464.2,0,1,0,40.0
2023-02-19,100,9458.8,0,1,0,40.0
2023-02-20,100,9440.6,0,1,0,40.0
2023-02-21,100,9435.9,0,0,0,40.0
2023-02-22,100,9417.5,0,0,0,40.0
2023-02-23,100,9403.5,0,0,0,40.0
2023-02-24,100,9412.4,0,0,0,40.0
2023-02-25,100,9399.1,0,1,0,40.0
2023-02-26,100,9372.0,0,1,0,40.0
2023-02-27,100,9335.2,0,0,0,40.0
2023-02-28,100,9297.4,0,0,0,40.0
2023-03-01,100,9249.1,0,1,0,40.0
2023-03-02,100,9208.8,0,1,0,40.0
2023-03-03,100,9169.5,0,0,0,40.0
2023-03-04,100,9119.1,0,0,0,40.0
2023-03-05,100,9077.7,0,0,0,40.0
2023-03-06,100,9030.2,0,0,0,40.0
2023-03-07,100,8991.6,0,0,0,40.0
2023-03-08,100,8968.8,0,0,0,40.0
2023-03-09,100,8943.8,0,0,0,40.0
2023-03-10,100,8937.6,0,0,0,35.0
2023-03-11,100,8923.4,0,0,0,40.0
2023-03-12,100,8904.0,0,0,0,35.0
2023-03-13,100,8851.5,0,0,0,40.0
2023-03-14,100,8812.9,0,0,0,40.0
2023-03-15,100,8770.1,0,0,0,35.0
2023-03-16,100,8734.5,0,0,0,40.0
2023-03-17,100,8711.9,0,0,0,40.0
2023-03-18,89.3,8683.5,1,0,0,40.0
2023-03-19,37.7,8643.3,1,0,0,40.0
2023-03-20,100,8624.4,0,0,0,40.0
2023-03-21,100,8590.8,0,0,0,40.0
2023-03-22,100,8579.8,0,0,0,40.0
2023-03-23,100,8551.1,0,0,0,40.0
2023-03-24,100,8518.7,0,0,0,40.0
2023-03-25,100,8487.8,0,0,0,40.0
2023-03-26,100,8454.6,0,0,0,40.0
2023-03-27,100,8420.8,0,1,0,40.0
2023-03-28,100,8389.5,0,2,0,40.0
2023-03-29,100,8353.1,0,1,0,40.0
2023-03-30,100,8323.4,0,2,0,40.0
2023-03-31,100,8290.7,0,0,0,40.0
2023-04-01,100,8264.2,0,0,0,40.0
2023-04-02,100,8213.8,0,0,0,40.0
2023-04-03,100,8164.1,0,0,0,40.0
2023-04-04,100,8118.3,0,0,0,40.0
2023-04-05,100,8076.0,0,2,0,40.0
2023-04-06,100,8036.3,0,0,0,40.0
2023-04-07,100,8009.2,0,0,0,40.0
2023-04-08,100,7972.8,0,0,0,40.0
2023-04-09,100,7933.0,0,0,0,40.0
2023-04-10,100,7888.5,0,0,0,40.0
2023-04-11,100,7836.1,0,0,0,40.0
2023-04-12,100,7795.3,0,0,0,40.0
2023-04-13,100,7769.1,0,0,0,40.0
2023-04-14,100,7742.9,0,0,0,40.0
2023-04-15,100,7718.1,0,0,0,40.0
2023-04-16,100,7678.1,0,0,0,40.0
2023-04-17,100,7676.3,0,3,0,35.0
2023-04-18,100,7810.7,0,0,0,35.0
2023-04-19,100,7868.7,0,3,0,40.0
2023-04-20,100,7868.7,0,0,0,40.0
2023-04-21,100,7811.7,0,0,0,40.0
2023-04-22,100,7762.8,0,0,0,40.0
2023-04-23,100,7739.9,0,0,0,40.0
2023-04-24,100,7724.6,0,0,0,40.0
2023-04-25,100,7721.5,0,0,0,35.0
2023-04-26,100,7680.9,0,1,0,40.0
2023-04-27,100,7637.4,0,2,0,40.0
2023-04-28,100,7592.1,0,0,2,40.0
2023-04-29,100,7563.0,0,0,0,40.0
2023-04-30,100,7528.6,0,0,0,40.0
2023-05-01,100,7564.9,0,0,0,40.0
2023-05-02,100,7585.5,0,0,0,40.0
2023-05-03,100,7601.1,0,0,0,40.0
2023-05-04,100,7600.2,0,0,0,40.0
2023-05-05,100,7608.7,0,0,0,40.0
2023-05-06,100,7610.7,0,0,0,40.0
2023-05-07,100,7589.6,0,0,0,40.0
2023-05-08,100,7551.5,0,0,0,40.0
2023-05-09,100,7514.0,0,0,0,40.0
2023-05-10,100,7477.2,0,0,0,40.0
2023-05-11,100,7445.2,0,1,0,40.0
2023-05-12,100,7431.7,0,0,0,40.0
2023-05-13,100,7419.8,0,0,0,40.0
2023-05-14,100,7391.5,0,0,0,40.0
2023-05-15,100,7358.0,0,0,0,40.0
2023-05-16,100,7327.5,0,0,0,40.0
2023-05-17,100,7328.7,0,0,0,40.0
2023-05-18,100,7327.0,0,0,0,40.0
2023-05-19,100,7312.5,0,0,0,40.0
2023-05-20,100,7289.1,0,0,0,40.0
2023-05-21,100,7258.0,0,0,0,40.0
2023-05-22,100,7263.1,0,0,0,35.0
2023-05-23,100,7299.3,0,0,0,40.0
2023-05-24,100,7289.1,0,0,0,40.0
2023-05-25,100,7268.8,0,0,4,40.0
2023-05-26,100,7262.8,0,0,0,40.0
2023-05-27,100,7272.1,0,0,0,40.0
2023-05-28,100,7283.9,0,0,0,40.0
2023-05-29,100,7328.1,0,1,0,40.0
2023-05-30,100,7374.6,0,0,0,40.0
2023-05-31,100,7407.1,0,0,0,35.0
2023-06-01,100,7418.4,0,0,0,40.0
2023-06-02,100,7429.0,0,0,0,40.0
2023-06-03,100,7435.2,0,0,0,40.0
2023-06-04,100,7419.2,0,0,0,40.0
2023-06-05,100,7436.2,0,0,0,35.0
2023-06-06,100,7474.4,0,0,0,40.0
2023-06-07,100,7503.1,0,0,0,40.0
2023-06-08,100,7522.7,0,0,0,40.0
2023-06-09,100,7614.3,0,0,0,35.0
2023-06-10,100,7674.9,0,0,0,35.0
2023-06-11,100,7784.2,0,1,0,35.0
2023-06-12,100,7845.9,0,0,0,35.0
2023-06-13,100,7889.1,0,0,0,35.0
2023-06-14,100,7922.3,0,0,0,35.0
2023-06-15,100,7915.7,0,0,0,40.0
2023-06-16,100,7914.9,0,1,0,35.0
2023-06-17,100.0,7917.3,1,0,0,35.0
2023-06-18,100,7953.4,0,0,0,35.0
2023-06-19,100,7990.6,0,0,0,35.0
2023-06-20,100,8007.3,0,0,0,35.0
2023-06-21,100,8003.8,0,2,0,40.0
2023-06-22,100,7980.3,0,4,0,40.0
2023-06-23,100,7949.5,0,0,0,40.0
2023-06-24,100,7941.5,0,0,0,40.0
2023-06-25,100,7942.4,0,0,0,40.0
2023-06-26,100,7946.5,0,0,0,40.0
2023-06-27,100,7972.0,0,0,0,35.0
2023-06-28,100,8013.8,0,0,0,35.0
2023-06-29,100.0,8029.7,1,0,0,40.0
2023-06-30,100.0,8024.6,1,0,0,40.0
2023-07-01,100.0,8015.2,1,0,0,40.0
2023-07-02,100,8020.5,0,0,0,35.0
2023-07-03,100,8117.8,0,0,0,35.0
2023-07-04,100,8182.8,0,0,0,35.0
2023-07-05,100.0,8233.2,1,0,0,35.0
2023-07-06,100.0,8266.4,1,0,0,35.0
2023-07-07,100.0,8297.6,1,0,0,35.0
2023-07-08,100,8337.0,0,0,0,35.0
2023-07-09,100,8377.4,0,0,0,35.0
2023-07-10,100,8383.7,0,0,0,40.0
2023-07-11,100.0,8394.1,1,0,0,40.0
2023-07-12,100,8390.7,0,2,0,35.0
2023-07-13,100.0,8429.2,1,3,0,35.0
2023-07-14,100,8476.7,0,1,0,40.0
2023-07-15,100,8483.4,0,0,0,40.0
2023-07-16,100,8488.4,0,0,0,40.0
2023-07-17,100.0,8502.5,1,0,0,40.0
2023-07-18,100,8553.8,0,0,0,35.0
2023-07-19,100.0,8577.9,1,0,0,40.0
2023-07-20,100,8578.4,0,0,0,40.0
2023-07-21,100,8556.2,0,0,0,40.0
2023-07-22,100,8533.2,0,0,0,40.0
2023-07-23,100,8513.2,0,0,0,40.0
2023-07-24,100.0,8526.4,1,2,0,40.0
2023-07-26,100.0,8521.1,1,0,0,40.0
2023-07-27,100,8534.7,0,2,0,40.0
2023-07-28,100,8540.8,0,0,0,40.0
2023-07-29,100,8545.8,0,0,0,35.0
2023-07-30,100,8554.5,0,0,0,40.0
2023-07-31,100,8577.2,0,0,0,35.0
2023-08-01,100.0,8616.9,1,0,0,35.0
2023-08-02,100.0,8642.2,1,0,0,40.0
2023-08-03,100.0,8645.4,1,0,0,40.0
2023-08-04,100.0,8655.8,1,2,0,40.0
2023-08-05,100,8670.0,0,2,0,40.0
2023-08-06,100,8672.0,0,0,0,40.0
2023-08-07,100,8677.8,0,0,0,40.0
2023-08-08,100.0,8691.6,1,0,0,40.0
