fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,786.4,1,0,4,35.0
2023-01-02,100,779.8,0,0,3,35.0
2023-01-03,100,793.8,0,0,3,35.0
2023-01-04,100,791.0,0,0,8,35.0
2023-01-05,100,793.4,0,0,6,35.0
2023-01-06,100,776.5,0,0,5,35.0
2023-01-07,100,826.0,0,0,0,35.0
2023-01-08,100,768.5,0,0,5,35.0
2023-01-09,100,739.6,0,0,3,35.0
2023-01-10,100,761.2,0,0,4,35.0
2023-01-11,100,736.6,0,0,6,35.0
2023-01-12,100,721.1,0,0,4,35.0
2023-01-13,100,755.6,0,0,3,35.0
2023-01-14,100,728.4,0,0,4,35.0
2023-01-15,100,706.6,0,0,3,35.0
2023-01-16,100,701.5,0,0,6,35.0
2023-01-17,100,696.7,0,0,2,35.0
2023-01-18,100,694.1,0,0,9,35.0
2023-01-19,100,720.6,0,0,2,35.0
2023-01-20,100,670.4,0,1,7,35.0
2023-01-21,100,687.2,0,0,3,35.0
2023-01-22,100,683.1,0,0,4,35.0
2023-01-23,100,650.9,0,0,5,35.0
2023-01-24,100,669.7,0,0,5,35.0
2023-01-25,100,670.0,0,2,2,35.0
2023-01-26,100,658.4,0,0,5,40.0
2023-01-27,100,692.5,0,1,2,35.0
2023-01-28,100,708.9,0,0,6,35.0
2023-01-29,100,692.9,0,0,1,35.0
2023-01-30,100,693.2,0,1,2,35.0
2023-01-31,100,681.5,0,0,6,35.0
2023-02-01,100,671.7,0,0,9,35.0
2023-02-02,100,675.0,0,0,4,35.0
2023-02-03,100,670.1,0,0,7,35.0
2023-02-04,100,654.9,0,0,4,35.0
2023-02-05,100,648.6,0,0,9,35.0
2023-02-06,100,651.9,0,0,6,40.0
2023-02-07,100,662.4,0,1,4,35.0
2023-02-08,100,681.4,0,0,2,35.0
2023-02-09,100,720.4,0,0,4,35.0
2023-02-10,100,718.7,0,0,3,35.0
2023-02-11,100,719.9,0,0,3,35.0
2023-02-12,100,754.4,0,0,1,35.0
2023-02-13,100,761.5,0,0,5,35.0
2023-02-14,100,760.9,0,1,9,35.0
2023-02-15,100,745.8,0,2,3,35.0
2023-02-16,100,791.3,0,1,4,35.0
2023-02-17,100,755.4,0,0,0,35.0
2023-02-18,100,783.0,0,1,6,35.0
2023-02-19,100,738.8,0,1,4,35.0
2023-02-20,100,766.0,0,1,9,35.0
2023-02-21,100,747.4,0,0,6,35.0
2023-02-22,100,735.6,0,0,6,35.0
2023-02-23,100,700.2,0,0,9,35.0
2023-02-24,100,752.1,0,0,5,35.0
2023-02-25,100,789.6,0,1,8,35.0
2023-02-26,94.3,1215.8,1,1,2,35.0
2023-02-27,100,1533.1,0,0,4,35.0
2023-02-28,100,1479.7,0,0,5,35.0
2023-03-01,100,1461.7,0,1,5,35.0
2023-03-02,100,1448.5,0,1,11,35.0
2023-03-03,100,1472.0,0,0,5,35.0
2023-03-04,100,1501.0,0,0,5,35.0
2023-03-05,94.4,1634.2,1,0,3,35.0
2023-03-06,46.2,1982.1,1,0,2,30.0
2023-03-07,86.5,2000.9,1,0,1,35.0
2023-03-08,76.9,2011.5,1,0,1,35.0
2023-03-09,81.3,2027.9,1,0,0,35.0
2023-03-10,64.0,2000.1,1,0,2,30.0
2023-03-11,100,1898.0,0,0,4,35.0
2023-03-12,100,1828.0,0,0,3,35.0
2023-03-13,100,1848.8,0,0,3,35.0
2023-03-14,100,1845.1,0,0,4,35.0
2023-03-15,100,1811.9,0,0,5,35.0
2023-03-16,100,1837.4,0,0,5,35.0
2023-03-17,100,1828.1,0,0,3,35.0
2023-03-18,100,1793.1,0,0,4,40.0
2023-03-19,100,1772.3,0,0,7,35.0
2023-03-20,100,1724.8,0,0,4,35.0
2023-03-21,100,1734.6,0,0,3,40.0
2023-03-22,100,1752.0,0,0,4,35.0
2023-03-23,100,1736.9,0,0,7,35.0
2023-03-24,100,1832.1,0,0,2,35.0
2023-03-25,100,1777.9,0,0,6,35.0
2023-03-26,100,1805.2,0,0,3,35.0
2023-03-27,100,1802.7,0,1,3,35.0
2023-03-28,100,1774.9,0,2,2,35.0
2023-03-29,100,1785.6,0,1,5,40.0
2023-03-30,100,1835.7,0,2,5,40.0
2023-03-31,100,1877.3,0,0,1,35.0
2023-04-01,100,1818.9,0,0,4,35.0
2023-04-02,100,1813.3,0,0,2,35.0
2023-04-03,100,1805.2,0,0,7,35.0
2023-04-04,100,1822.9,0,0,3,40.0
2023-04-05,100,1830.3,0,2,3,35.0
2023-04-06,100,1884.9,0,0,0,35.0
2023-04-07,100,1809.6,0,0,3,35.0
2023-04-08,100,1825.3,0,0,5,35.0
2023-04-09,100,1806.0,0,0,5,40.0
2023-04-10,100,1809.7,0,0,4,40.0
2023-04-11,100,1802.8,0,0,2,35.0
2023-04-12,100,1804.8,0,0,5,35.0
2023-04-13,100,1880.6,0,0,3,35.0
2023-04-14,100,1930.3,0,0,5,35.0
2023-04-15,100,1895.9,0,0,7,35.0
2023-04-16,100,1889.8,0,0,5,35.0
2023-04-17,100,1862.9,0,3,4,35.0
2023-04-18,100,1848.6,0,0,3,40.0
2023-04-19,100,1853.1,0,3,8,40.0
2023-04-20,100,1895.0,0,0,1,35.0
2023-04-21,100,1894.6,0,0,6,35.0
2023-04-22,100,1861.2,0,0,4,35.0
2023-04-23,100,1840.7,0,0,5,35.0
2023-04-24,100,1865.3,0,0,6,40.0
2023-04-25,100,1863.2,0,0,3,40.0
2023-04-26,100,1911.6,0,1,5,40.0
2023-04-27,100,1925.8,0,2,2,35.0
2023-04-28,100,1956.7,0,0,5,40.0
2023-04-29,100,1931.3,0,0,5,40.0
2023-04-30,100,1983.5,0,0,1,35.0
2023-05-01,100,1952.1,0,0,4,35.0
2023-05-02,100,1948.8,0,0,8,35.0
2023-05-03,100,1961.2,0,0,1,35.0
2023-05-04,100,1983.0,0,0,3,40.0
2023-05-05,100,2013.6,0,0,3,40.0
2023-05-06,100,2009.2,0,0,2,40.0
2023-05-07,100,2046.6,0,0,1,40.0
2023-05-08,100,2057.3,0,0,8,40.0
2023-05-09,100,2158.8,0,0,4,35.0
2023-05-10,100,2167.0,0,0,4,40.0
2023-05-11,100,2106.2,0,1,6,40.0
2023-05-12,100,2077.8,0,0,6,40.0
2023-05-13,100,2085.0,0,0,3,40.0
2023-05-14,100,2126.0,0,0,3,40.0
2023-05-15,100,2151.6,0,0,7,35.0
2023-05-16,100,2133.5,0,0,6,40.0
2023-05-17,100,2102.8,0,0,7,40.0
2023-05-18,100,2087.7,0,0,8,40.0
2023-05-19,100,2112.3,0,0,4,40.0
2023-05-20,100,2173.9,0,0,4,40.0
2023-05-21,100,2120.5,0,0,3,40.0
2023-05-22,82.7,2136.6,1,0,4,35.0
2023-05-23,100,2019.0,0,0,4,35.0
2023-05-24,100,1988.8,0,0,6,40.0
2023-05-25,100,1969.0,0,0,3,40.0
2023-05-26,100,1933.0,0,0,3,40.0
2023-05-27,100,1912.5,0,0,5,40.0
2023-05-28,100,1977.1,0,0,3,40.0
2023-05-29,100,1941.2,0,1,5,40.0
2023-05-30,100,1903.1,0,0,5,35.0
2023-05-31,100,1881.6,0,0,5,35.0
2023-06-01,100,1951.3,0,0,5,35.0
2023-06-02,100,2002.2,0,0,7,35.0
2023-06-03,100,1992.8,0,0,3,40.0
2023-06-04,100,1995.3,0,0,2,40.0
2023-06-05,100,1986.8,0,0,4,40.0
2023-06-06,100,1989.4,0,0,3,40.0
2023-06-07,100,1983.5,0,0,6,40.0
2023-06-08,100,2015.7,0,0,5,35.0
2023-06-09,100,1990.4,0,0,1,35.0
2023-06-10,100,1973.3,0,0,3,35.0
2023-06-11,100,1992.7,0,1,2,35.0
2023-06-12,100,1960.7,0,0,8,35.0
2023-06-13,100,1964.7,0,0,4,35.0
2023-06-14,100,1962.1,0,0,3,35.0
2023-06-15,100,2028.2,0,0,4,35.0
2023-06-16,100,1977.3,0,1,2,35.0
2023-06-17,100.0,2015.3,1,0,3,35.0
2023-06-18,100,1977.5,0,0,1,35.0
2023-06-19,100,1956.3,0,0,4,40.0
2023-06-20,100,2015.5,0,0,2,40.0
2023-06-21,100,2055.1,0,2,3,40.0
2023-06-22,100,2058.4,0,4,1,35.0
2023-06-23,100,2049.1,0,0,0,35.0
2023-06-24,100,2017.8,0,0,0,35.0
2023-06-25,100,2059.7,0,0,5,35.0
2023-06-26,100,2003.5,0,0,2,35.0
2023-06-27,100,1991.3,0,0,2,35.0
2023-06-28,100,1966.6,0,0,5,40.0
2023-06-29,100.0,1971.1,1,0,8,35.0
2023-06-30,100.0,2030.8,1,0,3,35.0
2023-07-01,100.0,2025.0,1,0,8,35.0
2023-07-02,100,2013.8,0,0,1,40.0
2023-07-03,100,1972.1,0,0,4,40.0
2023-07-04,100,1942.2,0,0,3,40.0
2023-07-05,100.0,1942.0,1,0,6,40.0
2023-07-06,100.0,1990.3,1,0,2,40.0
2023-07-07,100.0,1962.2,1,0,6,40.0
2023-07-08,100,1947.0,0,0,4,40.0
2023-07-09,100,1910.8,0,0,5,35.0
2023-07-10,100,1963.9,0,0,4,40.0
2023-07-11,100.0,1994.5,1,0,3,35.0
2023-07-12,100,1942.6,0,2,8,35.0
2023-07-13,100.0,1905.5,1,3,4,35.0
2023-07-14,100,1977.0,0,1,4,40.0
2023-07-15,100,1961.3,0,0,2,35.0
2023-07-16,100,1992.4,0,0,4,40.0
2023-07-17,100.0,1993.2,1,0,6,35.0
2023-07-18,100,2026.1,0,0,6,35.0
2023-07-19,100,2020.3,0,0,4,40.0
2023-07-20,100,2024.1,0,0,5,40.0
2023-07-21,100,2095.2,0,0,3,35.0
2023-07-22,32.8,2112.0,1,0,2,35.0
2023-07-23,0,-9,0,0,0,-9
2023-07-24,0,-9,0,0,0,-9
2023-07-26,0,-9,0,0,0,-9
2023-07-27,0,-9,0,0,0,-9
2023-07-28,0,-9,0,0,0,-9
2023-07-29,0,-9,0,0,0,-9
2023-07-30,0,-9,0,0,0,-9
2023-07-31,0,-9,0,0,0,-9
2023-08-01,0,-9,0,0,0,-9
2023-08-02,0,-9,0,0,0,-9
