fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-1061.9,1,0,0,35.0
2023-01-02,100,-1138.2,0,0,0,35.0
2023-01-03,100,-1125.1,0,0,0,35.0
2023-01-04,100,-992.2,0,0,0,35.0
2023-01-05,100,-972.5,0,0,0,35.0
2023-01-06,100,-934.6,0,0,1,35.0
2023-01-07,100,-961.8,0,0,0,35.0
2023-01-08,100,-811.5,0,0,0,35.0
2023-01-09,100,-803.3,0,0,0,35.0
2023-01-10,100,-882.4,0,0,0,35.0
2023-01-11,100,-812.5,0,0,0,35.0
2023-01-12,100,-752.1,0,0,0,35.0
2023-01-13,100,-786.8,0,0,0,35.0
2023-01-14,100,-823.3,0,0,1,35.0
2023-01-15,100,-889.2,0,0,0,35.0
2023-01-16,100,-848.0,0,0,1,35.0
2023-01-17,100,-842.4,0,0,0,35.0
2023-01-18,100,-799.9,0,0,0,40.0
2023-01-19,100,-930.5,0,0,0,35.0
2023-01-20,100,-870.2,0,1,0,35.0
2023-01-21,100,-753.1,0,0,0,35.0
2023-01-22,100,-662.7,0,0,0,35.0
2023-01-23,100,-621.8,0,0,0,35.0
2023-01-24,100,-648.2,0,0,0,35.0
2023-01-25,100,-559.8,0,2,0,35.0
2023-01-26,100,-495.1,0,0,0,35.0
2023-01-27,100,-299.6,0,1,0,35.0
2023-01-28,100,-356.0,0,0,0,35.0
2023-01-29,100,-401.1,0,0,0,40.0
2023-01-30,100,-295.0,0,1,0,35.0
2023-01-31,100,-304.5,0,0,0,35.0
2023-02-01,100,-431.1,0,0,0,40.0
2023-02-02,100,-428.8,0,0,0,40.0
2023-02-03,100,-310.2,0,0,0,40.0
2023-02-04,100,-287.8,0,0,0,40.0
2023-02-05,100,-283.8,0,0,0,35.0
2023-02-06,100,-345.7,0,0,0,40.0
2023-02-07,100,-306.3,0,1,0,35.0
2023-02-08,100,-266.1,0,0,0,35.0
2023-02-09,100,-305.8,0,0,0,35.0
2023-02-10,100,-332.7,0,0,0,35.0
2023-02-11,100,-364.4,0,0,0,35.0
2023-02-12,100,-384.5,0,0,0,35.0
2023-02-13,100,-391.6,0,0,0,35.0
2023-02-14,100,-427.4,0,1,0,35.0
2023-02-15,100,-477.2,0,2,0,35.0
2023-02-16,100,-502.8,0,1,0,35.0
2023-02-17,100,-471.6,0,0,1,35.0
2023-02-18,100,-486.2,0,1,0,35.0
2023-02-19,100,-378.0,0,1,0,35.0
2023-02-20,100,-211.7,0,1,0,35.0
2023-02-21,100,-165.7,0,0,1,35.0
2023-02-22,100,-222.6,0,0,0,35.0
2023-02-23,100,-206.2,0,0,0,40.0
2023-02-24,100,-162.5,0,0,0,40.0
2023-02-25,100,-205.6,0,1,0,40.0
2023-02-26,100,-214.4,0,1,0,40.0
2023-02-27,100,-216.8,0,0,0,35.0
2023-02-28,100,-228.9,0,0,0,35.0
2023-03-01,100,-261.0,0,1,1,35.0
2023-03-02,100,-246.2,0,1,0,35.0
2023-03-03,100,-270.7,0,0,0,35.0
2023-03-04,100,-275.4,0,0,0,35.0
2023-03-05,100,-267.2,0,0,0,35.0
2023-03-06,100,-301.8,0,0,0,35.0
2023-03-07,100,-327.3,0,0,0,35.0
2023-03-08,100,-320.6,0,0,0,35.0
2023-03-09,100,-349.4,0,0,0,35.0
2023-03-10,100,-280.9,0,0,1,35.0
2023-03-11,100,-281.8,0,0,0,35.0
2023-03-12,100,-120.1,0,0,0,35.0
2023-03-13,100,-84.8,0,0,0,35.0
2023-03-14,100,-94.4,0,0,0,35.0
2023-03-15,88.7,-130.9,2,0,0,30.0
2023-03-16,100,-478.2,0,0,0,35.0
