fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,0,-9,0,[],0,0,[],-9
2023-01-02,0,-9,0,[],0,0,[],-9
2023-01-03,0,-9,0,[],0,0,[],-9
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,0,-9,0,[],0,0,[],-9
2023-01-06,0,-9,0,[],0,0,[],-9
2023-01-07,0,-9,0,[],0,0,[],-9
2023-01-08,0,-9,0,[],0,0,[],-9
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,0,-9,0,[],0,0,[],-9
2023-01-12,0,-9,0,[],0,0,[],-9
2023-01-13,0,-9,0,[],0,0,[],-9
2023-01-14,0,-9,0,[],0,0,[],-9
2023-01-15,0,-9,0,[],0,0,[],-9
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
2023-01-31,0,-9,0,[],0,0,[],-9
2023-02-01,0,-9,0,[],0,0,[],-9
2023-02-02,0,-9,0,[],0,0,[],-9
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,0,-9,0,[],0,0,[],-9
2023-02-07,0,-9,0,[],0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,23.3,-9865.3,1,2023-2-15-0-0-0-0-66306.509575_,0,0,[],40.0
2023-02-16,100.0,-11398.9,1,2023-2-16-0-24-56-944538-7.749999761581421_,0,0,[],40.0
2023-02-17,100,-11597.5,0,[],0,0,[],40.0
