fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-20618.5,1,2023-1-1-0-0-0-0-1.919538_,0,0,[],40.0
2023-01-02,100,-20586.3,0,[],0,0,[],40.0
2023-01-03,100,-20368.5,0,[],0,2,2023-1-3-23-3-44-324538_2023-1-3-23-4-34-374538_,40.0
2023-01-04,100,-21077.7,0,[],0,0,[],40.0
2023-01-05,100,-21000.8,0,[],0,0,[],40.0
2023-01-06,100,-20935.5,0,[],0,0,[],40.0
2023-01-07,100,-20856.9,0,[],0,0,[],40.0
2023-01-08,100,-20795.8,0,[],0,0,[],40.0
2023-01-09,100,-20754.5,0,[],0,0,[],40.0
2023-01-10,100,-20723.7,0,[],0,0,[],40.0
2023-01-11,100,-20663.3,0,[],0,0,[],40.0
2023-01-12,100,-20581.2,0,[],0,0,[],40.0
2023-01-13,100,-20287.2,0,[],0,2,2023-1-13-23-50-29-4538_2023-1-13-23-51-19-104538_,40.0
2023-01-14,100,-20590.4,0,[],0,2,2023-1-14-0-23-24-414538_2023-1-14-0-24-14-464538_,40.0
2023-01-15,100,-20692.3,0,[],0,0,[],40.0
2023-01-16,100,-31471.5,0,[],0,3,2023-1-16-3-57-31-664538_2023-1-16-3-58-21-664538_2023-1-16-4-4-58-814538_,40.0
2023-01-17,100,-33861.4,0,[],0,0,[],40.0
2023-01-18,100,-33827.9,0,[],0,0,[],40.0
2023-01-19,100,-33798.3,0,[],0,0,[],40.0
2023-01-20,100,-33768.2,0,[],1,0,[],40.0
2023-01-21,100,-33754.5,0,[],0,0,[],40.0
2023-01-22,100,-33733.3,0,[],0,0,[],40.0
2023-01-23,100,-33697.8,0,[],0,0,[],40.0
2023-01-24,100,-33658.9,0,[],0,0,[],40.0
2023-01-25,100,-33647.9,0,[],2,0,[],40.0
2023-01-26,100,-33653.8,0,[],0,0,[],40.0
2023-01-27,100,-33660.5,0,[],1,1,2023-1-27-4-34-56-219538_,40.0
2023-01-28,100,-33669.8,0,[],0,0,[],40.0
2023-01-29,100,-33660.8,0,[],0,0,[],40.0
2023-01-30,100,-33649.9,0,[],1,0,[],40.0
2023-01-31,100,-22344.3,0,[],0,3,2023-1-31-3-56-5-184538_2023-1-31-3-56-55-234538_2023-1-31-4-3-32-834538_,45.0
2023-02-01,100,-20365.6,0,[],0,0,[],40.0
2023-02-02,100,-20362.5,0,[],0,0,[],40.0
2023-02-03,100,-20345.4,0,[],0,0,[],40.0
2023-02-04,100,-20354.5,0,[],0,0,[],40.0
2023-02-05,100,-20361.2,0,[],0,0,[],40.0
2023-02-06,100,-20350.0,0,[],0,0,[],40.0
2023-02-07,100,-20343.2,0,[],1,0,[],40.0
2023-02-08,100,-20318.2,0,[],0,1,2023-2-8-12-59-50-589538_,40.0
2023-02-09,100,-20302.5,0,[],0,0,[],40.0
2023-02-10,100,-20291.3,0,[],0,0,[],40.0
2023-02-11,100,-20295.6,0,[],0,0,[],40.0
2023-02-12,100,-20288.6,0,[],0,0,[],40.0
2023-02-13,100,-20279.4,0,[],0,0,[],40.0
2023-02-14,100,-20266.3,0,[],1,0,[],40.0
2023-02-15,100,-20259.9,0,[],2,1,2023-2-15-13-5-23-844538_,40.0
2023-02-16,100,-20229.5,0,[],1,0,[],40.0
2023-02-17,100,-20212.4,0,[],0,0,[],40.0
2023-02-18,100,-20186.7,0,[],1,0,[],40.0
2023-02-19,100,-20148.4,0,[],1,0,[],40.0
2023-02-20,100,-20113.7,0,[],1,0,[],40.0
2023-02-21,100,-20099.0,0,[],0,0,[],40.0
2023-02-22,100,-20082.9,0,[],0,0,[],40.0
2023-02-23,100,-20040.2,0,[],0,0,[],40.0
2023-02-24,100,-19996.7,0,[],0,0,[],40.0
2023-02-25,100,-19939.4,0,[],1,0,[],40.0
2023-02-26,100,-19900.0,0,[],1,0,[],40.0
2023-02-27,100,-19861.9,0,[],0,0,[],40.0
2023-02-28,100,-19837.9,0,[],0,0,[],40.0
2023-03-01,100,-19814.3,0,[],1,0,[],40.0
2023-03-02,100,-19798.5,0,[],1,0,[],40.0
2023-03-03,100,-19780.5,0,[],0,0,[],40.0
2023-03-04,100,-19753.9,0,[],0,0,[],40.0
2023-03-05,100,-19725.7,0,[],0,0,[],40.0
2023-03-06,100,-19701.2,0,[],0,0,[],40.0
2023-03-07,100,-19696.9,0,[],0,1,2023-3-7-4-0-13-634538_,40.0
2023-03-08,100,-19657.3,0,[],0,0,[],40.0
2023-03-09,100,-19589.3,0,[],0,0,[],40.0
2023-03-10,100,-19544.8,0,[],0,3,2023-3-10-9-19-38-644538_2023-3-10-9-20-28-644538_2023-3-10-20-48-4-94538_,40.0
2023-03-11,100,-19456.3,0,[],0,1,2023-3-11-21-12-45-594538_,40.0
2023-03-12,100,-19358.3,0,[],0,0,[],40.0
2023-03-13,100,-19304.2,0,[],0,0,[],40.0
2023-03-14,100,-19282.4,0,[],0,0,[],40.0
2023-03-15,100,-19237.2,0,[],0,1,2023-3-15-21-51-11-139538_,40.0
2023-03-16,100,-19196.2,0,[],0,1,2023-3-16-14-4-36-489538_,40.0
2023-03-17,100,-19157.4,0,[],0,0,[],40.0
2023-03-18,100,-19138.9,0,[],0,0,[],40.0
2023-03-19,100,-19114.6,0,[],0,0,[],40.0
2023-03-20,100,-19088.6,0,[],0,0,[],40.0
2023-03-21,100,-19055.3,0,[],0,1,2023-3-21-13-57-44-34538_,40.0
2023-03-22,100,-19041.5,0,[],0,0,[],40.0
2023-03-23,100,-18947.5,0,[],0,2,2023-3-23-23-43-4-959536_2023-3-23-23-43-55-209536_,40.0
2023-03-24,100,-32299.1,0,[],0,0,[],40.0
2023-03-25,100,-32283.1,0,[],0,0,[],40.0
2023-03-26,100,-32239.3,0,[],0,1,2023-3-26-18-14-37-664538_,40.0
2023-03-27,100,-32191.9,0,[],1,0,[],40.0
2023-03-28,100,-31896.6,0,[],2,2,2023-3-28-18-44-22-284538_2023-3-28-18-45-12-284538_,40.0
2023-03-29,100,-32083.0,0,[],1,0,[],40.0
2023-03-30,100,-32055.0,0,[],2,0,[],40.0
2023-03-31,100,-32027.4,0,[],0,0,[],40.0
2023-04-01,100,-32035.8,0,[],0,0,[],40.0
2023-04-02,100,-32032.0,0,[],0,1,2023-4-2-7-21-33-444538_,40.0
2023-04-03,100,-32021.6,0,[],0,0,[],40.0
2023-04-04,100,-24274.0,0,[],0,2,2023-4-4-10-10-54-654538_2023-4-4-10-11-44-654538_,40.0
2023-04-05,100,-18717.3,0,[],2,2,2023-4-5-22-38-54-784539_2023-4-5-22-39-44-884539_,40.0
2023-04-06,98.8,-18932.3,3,2023-4-6-6-45-31-979538-509.00000071525574_2023-4-6-7-48-13-979539-523.9999990463257_2023-4-6-8-2-8-979538-34.0_,0,0,[],40.0
2023-04-07,100,-18945.0,0,[],0,0,[],40.0
2023-04-08,100,-18908.1,0,[],0,0,[],40.0
2023-04-09,100,-18868.9,0,[],0,0,[],40.0
2023-04-10,100,-18802.1,0,[],0,0,[],40.0
2023-04-11,100,-18819.5,0,[],0,0,[],40.0
2023-04-12,100,-18655.0,0,[],0,2,2023-4-12-22-27-47-864538_2023-4-12-22-28-38-164538_,40.0
2023-04-13,100,-30701.7,0,[],0,6,2023-4-13-0-18-38-539538_2023-4-13-0-19-28-539538_2023-4-13-0-46-41-239538_2023-4-13-0-47-31-239538_2023-4-13-1-3-2-489538_2023-4-13-1-3-52-539538_,40.0
2023-04-14,100,-31860.2,0,[],0,1,2023-4-14-10-8-54-429538_,40.0
2023-04-15,100,-31839.3,0,[],0,1,2023-4-15-14-16-33-944538_,40.0
2023-04-16,100,-31822.2,0,[],0,0,[],40.0
2023-04-17,100,-31809.4,0,[],3,0,[],40.0
2023-04-18,100,-31774.3,0,[],0,0,[],40.0
2023-04-19,100,-31740.9,0,[],3,0,[],40.0
2023-04-20,100,-21951.3,0,[],0,5,2023-4-20-6-58-56-874538_2023-4-20-6-59-46-974538_2023-4-20-7-20-11-774538_2023-4-20-7-21-1-774538_2023-4-20-12-12-26-324538_,50.0
2023-04-21,100,-18511.2,0,[],0,0,[],40.0
2023-04-22,100,-18506.5,0,[],0,0,[],40.0
2023-04-23,100,-18502.4,0,[],0,0,[],40.0
2023-04-24,100,-18481.1,0,[],0,0,[],40.0
2023-04-25,100,-18474.4,0,[],0,0,[],40.0
2023-04-26,100,-18451.0,0,[],1,0,[],40.0
2023-04-27,100,-18457.7,0,[],2,0,[],40.0
2023-04-28,100,-18460.8,0,[],0,0,[],40.0
2023-04-29,100,-18473.7,0,[],0,0,[],40.0
2023-04-30,100,-18477.9,0,[],0,0,[],40.0
2023-05-01,100,-18481.3,0,[],0,0,[],40.0
2023-05-02,100,-18494.4,0,[],0,0,[],40.0
2023-05-03,100,-18483.3,0,[],0,0,[],40.0
2023-05-04,100,-18481.4,0,[],0,1,2023-5-4-19-9-44-514538_,40.0
2023-05-05,100,-18494.3,0,[],0,6,2023-5-5-20-36-12-864539_2023-5-5-20-49-51-564539_2023-5-5-21-9-17-64539_2023-5-5-21-57-40-64539_2023-5-5-22-16-14-414539_2023-5-5-22-17-4-414539_,55.0
2023-05-06,100,-29968.2,0,[],0,4,2023-5-6-22-13-1-54538_2023-5-6-22-44-42-254538_2023-5-6-23-31-5-254538_2023-5-6-23-41-43-204538_,50.0
2023-05-07,100,-18272.2,0,[],0,0,[],40.0
2023-05-08,100,-18261.8,0,[],0,0,[],40.0
2023-05-09,100,-18282.8,0,[],0,0,[],40.0
2023-05-10,100,-17674.9,0,[],0,6,2023-5-10-8-44-13-859538_2023-5-10-8-45-3-859538_2023-5-10-9-37-8-259538_2023-5-10-9-37-58-259538_2023-5-10-9-48-1-59538_2023-5-10-9-48-51-109538_,50.0
2023-05-11,100,-18228.3,0,[],1,0,[],40.0
